                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0938,                 0.5913,                 1.1221,                0.92942,                 0.2561,                0.29221,                0.16324,                 1.6559,                  1.942,                0.94276,             0.00091549,             0.00091549,             0.00091549
                     36,                0.98871,                0.51825,                 1.0625,                0.89829,                 0.2561,                0.29492,                0.16468,                 1.6737,                 2.0401,                0.95302,             0.00092797,             0.00092797,             0.00092797
                     37,                0.94081,                0.52919,                 1.0411,                0.90164,                0.36585,                0.41903,                0.24122,                 1.6737,                 2.0401,                0.95302,             0.00093966,             0.00093966,             0.00093966
                     38,                 1.0153,                0.52348,                 1.0784,                0.97714,                0.12195,                0.17036,                0.08563,                 1.6671,                 1.9011,                0.93036,             0.00095055,             0.00095055,             0.00095055
                     39,                0.97668,                0.51311,                 1.0544,                0.84402,                0.26829,                0.29402,                 0.1671,                 1.7892,                 2.0203,                0.99303,             0.00096065,             0.00096065,             0.00096065
                     40,                 1.0037,                0.53879,                  1.056,                 0.8576,                0.39024,                0.42231,                0.23587,                 1.7892,                 2.0203,                0.99303,             0.00096996,             0.00096996,             0.00096996
                     41,                0.98725,                0.56163,                 1.0856,                0.85582,                0.12195,                0.15577,                0.06616,                 1.7515,                 1.8354,                 0.9848,             0.00097848,             0.00097848,             0.00097848
                     42,                0.97258,                0.53834,                 1.0625,                 0.8174,                0.13415,                0.16203,                0.06402,                 1.7174,                 2.0252,                0.98702,             0.00098621,             0.00098621,             0.00098621
                     43,                 1.0506,                0.55185,                 1.0996,                0.78612,                0.41463,                0.42628,                0.25002,                 1.7174,                 2.0252,                0.98702,             0.00099314,             0.00099314,             0.00099314
                     44,                 1.1112,                0.59113,                 1.1006,                0.76828,                0.13415,                0.15544,                0.07105,                 1.7142,                 2.4376,                0.99395,             0.00099928,             0.00099928,             0.00099928
                     45,                 1.0016,                 0.5166,                 1.1232,                0.82967,                0.28049,                0.30635,                0.16602,                 1.7142,                 2.4376,                0.99395,              0.0010046,              0.0010046,              0.0010046
                     46,                0.95615,                0.57163,                 1.0188,                0.84259,                0.14634,                0.18135,                0.08161,                 1.7232,                 2.3295,                 1.0212,              0.0010092,              0.0010092,              0.0010092
                     47,                0.91169,                 0.4971,                 1.0065,                0.86194,                0.30455,                0.32439,                0.17501,                 1.7232,                 2.3295,                 1.0212,               0.001013,               0.001013,               0.001013
                     48,                0.94362,                0.52645,                 1.0318,                0.85688,                0.14634,                0.21366,                0.09962,                 1.7275,                  2.169,                 1.0077,              0.0010159,              0.0010159,              0.0010159
                     49,                0.93019,                0.51307,                 1.0424,                0.82979,                0.30488,                0.34004,                0.18161,                 1.7275,                  2.169,                 1.0077,              0.0010181,              0.0010181,              0.0010181
                     50,                 0.9713,                0.55809,                 1.0738,                0.96038,                0.14634,                 0.2126,                0.09529,                 1.7867,                 1.8164,                 1.0312,              0.0010195,              0.0010195,              0.0010195
                     51,                0.99442,                0.50818,                 1.0226,                0.82075,                0.30488,                0.35457,                0.19078,                 1.7867,                 1.8164,                 1.0312,                0.00101,                0.00101,                0.00101
                     52,                 1.0287,                0.54248,                 1.0554,                0.90866,                0.14634,                0.17978,                0.07766,                 1.7105,                 1.9178,                 1.0007,              0.0009902,              0.0009902,              0.0009902
                     53,                 0.8514,                0.49734,                 1.0046,                0.86993,                0.30488,                0.33246,                0.17312,                 1.7105,                 1.9178,                 1.0007,              0.0009704,              0.0009704,              0.0009704
                     54,                0.85519,                0.51659,                0.98723,                0.91537,                0.14634,                 0.1788,                0.07769,                 1.7049,                 1.8582,                 1.0142,              0.0009506,              0.0009506,              0.0009506
                     55,                0.83258,                0.49744,                 1.0597,                0.83629,                0.29268,                 0.3285,                0.16861,                 1.7049,                 1.8582,                 1.0142,              0.0009308,              0.0009308,              0.0009308
                     56,                0.87045,                0.49325,                 1.0595,                0.77327,                0.13415,                0.22041,                0.09779,                 1.6818,                 1.7993,                 1.0105,               0.000911,               0.000911,               0.000911
                     57,                0.82953,                0.47601,                0.97539,                0.87196,                0.26829,                0.34423,                0.18155,                 1.6818,                 1.7993,                 1.0105,              0.0008912,              0.0008912,              0.0008912
                     58,                0.82545,                0.43902,                 1.0221,                0.66281,                0.12195,                0.19907,                0.09007,                 1.7187,                 1.7375,                 1.0359,              0.0008714,              0.0008714,              0.0008714
                     59,                0.80058,                0.45122,                0.98925,                0.72544,                0.28049,                0.33892,                0.17832,                 1.7187,                 1.7375,                 1.0359,              0.0008516,              0.0008516,              0.0008516
                     60,                0.78325,                0.41383,                 1.0124,                0.69707,                 0.1124,                0.21113,                0.09848,                 1.8524,                 1.8891,                  1.118,              0.0008318,              0.0008318,              0.0008318
                     61,                 0.8235,                0.46049,                 0.9953,                0.69866,                0.25452,                0.35098,                0.17757,                 1.8524,                 1.8891,                  1.118,               0.000812,               0.000812,               0.000812
                     62,                0.87225,                0.46526,                 1.0159,                0.83273,                0.12147,                0.20384,                0.09219,                 1.8661,                 1.8112,                 1.1264,              0.0007922,              0.0007922,              0.0007922
                     63,                0.75293,                0.43089,                0.96561,                0.83253,                0.24254,                0.34447,                 0.1598,                 1.8661,                 1.8112,                 1.1264,              0.0007724,              0.0007724,              0.0007724
                     64,                0.77028,                0.44832,                0.98257,                0.65684,                0.11692,                0.20659,                0.09943,                 1.7035,                 1.6919,                 1.0225,              0.0007526,              0.0007526,              0.0007526
                     65,                0.79062,                0.44566,                0.97498,                0.81556,                 0.2439,                0.34932,                0.18767,                 1.7035,                 1.6919,                 1.0225,              0.0007328,              0.0007328,              0.0007328
                     66,                0.78328,                0.45798,                  1.001,                0.89266,                0.10976,                0.19602,                0.09462,                  1.647,                 1.8227,                 0.9961,               0.000713,               0.000713,               0.000713
                     67,                0.81347,                0.44126,                0.96824,                0.82764,                0.37805,                0.47579,                 0.2614,                  1.647,                 1.8227,                 0.9961,              0.0006932,              0.0006932,              0.0006932
                     68,                0.80333,                0.42587,                0.96431,                0.70112,                0.12195,                0.21417,                0.09987,                 1.6857,                 1.8144,                 1.0345,              0.0006734,              0.0006734,              0.0006734
                     69,                0.74132,                0.42497,                0.95926,                0.74206,                 0.2561,                0.36158,                0.20106,                 1.6857,                 1.8144,                 1.0345,              0.0006536,              0.0006536,              0.0006536
                     70,                0.77579,                0.42399,                0.98239,                0.75806,                 0.2561,                0.36555,                0.20946,                 1.6843,                  1.766,                 1.0347,              0.0006338,              0.0006338,              0.0006338
                     71,                0.73349,                0.40876,                0.96273,                0.83353,                0.39024,                0.48153,                0.25962,                 1.6843,                  1.766,                 1.0347,               0.000614,               0.000614,               0.000614
                     72,                0.80029,                0.51053,                0.97114,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0005942,              0.0005942,              0.0005942
                     73,                0.91071,                0.64401,                 1.0134,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.0008,                0.62733,                 1.0835,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0005546,              0.0005546,              0.0005546
                     75,                0.88549,                0.54105,                 1.0221,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0005348,              0.0005348,              0.0005348
                     76,                0.80227,                0.49748,                 1.0099,                0.00167,                0.03659,                0.00097,                0.00022,                    nan,                    nan,                    nan,               0.000515,               0.000515,               0.000515
                     77,                 0.8103,                0.48846,                0.98926,                0.00167,                0.03659,                0.00097,                0.00022,                    nan,                    nan,                    nan,              0.0004952,              0.0004952,              0.0004952
                     78,                0.77135,                0.48447,                0.98143,                0.00111,                 0.0122,                0.00056,                0.00011,                    nan,                    nan,                    nan,              0.0004754,              0.0004754,              0.0004754
                     79,                0.76412,                0.42267,                0.96171,                0.00167,                0.03659,                0.00091,                0.00015,                    nan,                    nan,                    nan,              0.0004556,              0.0004556,              0.0004556
                     80,                 0.7597,                0.45957,                0.99176,                0.01455,                0.30488,                 0.0095,                0.00229,                    nan,                    nan,                    nan,              0.0004358,              0.0004358,              0.0004358
                     81,                0.69188,                  0.406,                0.93938,                0.01455,                0.30488,                 0.0095,                0.00229,                    nan,                    nan,                    nan,               0.000416,               0.000416,               0.000416
                     82,                0.71095,                 0.4267,                0.94119,                 0.0102,                0.15854,                0.00532,                0.00113,                    nan,                    nan,                    nan,              0.0003962,              0.0003962,              0.0003962
                     83,                0.74013,                0.41835,                0.97381,                0.01145,                0.20732,                 0.0062,                0.00119,                    nan,                    nan,                    nan,              0.0003764,              0.0003764,              0.0003764
                     84,                0.68214,                0.40369,                0.94263,                 0.0172,                0.04878,                0.00751,                0.00372,                    nan,                 126.04,                    nan,              0.0003566,              0.0003566,              0.0003566
                     85,                0.70399,                0.40111,                0.93356,                0.01314,                0.23171,                0.00974,                0.00367,                    nan,                 126.04,                    nan,              0.0003368,              0.0003368,              0.0003368
                     86,                0.70529,                0.41883,                0.96156,                0.11156,                0.17073,                0.03555,                0.01675,                 2.4422,                 32.648,                 1.8323,               0.000317,               0.000317,               0.000317
                     87,                0.63139,                0.38847,                0.89476,                0.11957,                0.17073,                0.03962,                0.01902,                 2.4422,                 32.648,                 1.8323,              0.0002972,              0.0002972,              0.0002972
                     88,                0.65782,                0.40129,                0.90938,                0.39373,                 0.2439,                0.12529,                0.06257,                 1.9864,                 7.0811,                 1.2969,              0.0002774,              0.0002774,              0.0002774
                     89,                0.67631,                0.40234,                0.92356,                0.34598,                0.43902,                0.19214,                0.09741,                 1.9864,                 7.0811,                 1.2969,              0.0002576,              0.0002576,              0.0002576
